Peak-to-Peak Amplitude,RMS,Standard Deviation,Area Under Signal,Peak Positive,Peak Negative,Number of Peaks,Distance from Mean,SNR,Spectral Entropy,Zero Crossing Rate,Distance from Mean F
0.09814453,0.011217569,0.011217569,0.089543305,0.047668457,-0.050476074,1,0.008954333,0.45914567,10.532132,0.1339871830071885,1.668129
0.11102295,0.011916721,0.011916721,0.09353574,0.05038452,-0.060638428,3,0.009353577,0.42716354,10.621862,0.14641729482827476,1.4427599
0.10626221,0.011897706,0.011897706,0.09174843,0.052246094,-0.054016113,0,0.009174845,0.32920158,9.971621,0.06719249201277955,2.0465918
0.10202026,0.011168678,0.011168678,0.08926205,0.051879883,-0.05014038,0,0.008926205,0.44780874,10.531304,0.12960513178913738,1.6164614
0.095214844,0.0111183645,0.0111183645,0.088607326,0.046966553,-0.04824829,0,0.008860733,0.55856013,10.665142,0.13187805760782748,1.7736592
0.10797119,0.011066686,0.011066686,0.088048205,0.05532837,-0.052642822,0,0.008804821,0.4273165,10.345947,0.0871277830471246,1.8589135
0.105041504,0.011162385,0.0111623835,0.089215636,0.05847168,-0.046569824,0,0.008921565,0.41561124,10.495278,0.13617430860623003,1.6006266
0.122161865,0.011025811,0.011025811,0.08552995,0.06756592,-0.054595947,0,0.008552996,0.84927696,10.841322,0.1956947009784345,1.897246
0.12057495,0.011302647,0.011302648,0.08997058,0.06283569,-0.057739258,0,0.008997059,0.6114569,10.755751,0.18726287939297126,1.6604244
0.08843994,0.010163593,0.010163593,0.08094563,0.046661377,-0.041778564,0,0.008094564,0.46114168,10.444915,0.10144393969648563,1.7206974
0.12374878,0.0121721355,0.0121721355,0.09355551,0.06011963,-0.06362915,0,0.00935555,0.6990992,10.801302,0.20195343700079874,1.9325804
0.12722778,0.010249662,0.010249662,0.078545325,0.065338135,-0.06188965,0,0.007854533,0.42670265,10.221228,0.08204217002795527,1.9514909
0.08807373,0.010229081,0.010229081,0.08163065,0.0440979,-0.04397583,1,0.008163067,0.4719431,10.597045,0.15180866863019168,1.4948207
0.09283447,0.011060648,0.011060648,0.08828482,0.047607422,-0.04522705,1,0.008828485,0.31289986,10.163093,0.0780937999201278,1.8268024
0.11187744,0.011235179,0.011235179,0.089275636,0.053741455,-0.058135986,1,0.008927562,0.58511573,10.70277,0.12908721046325877,1.7808027
0.10800171,0.011997034,0.011997034,0.094676025,0.052490234,-0.055511475,2,0.009467602,0.430832,10.377764,0.09277187749600639,1.9143274
0.10662842,0.012026508,0.012026507,0.0946799,0.052246094,-0.054382324,1,0.009467993,0.42831215,10.448376,0.10176842052715655,1.8031273
0.103027344,0.011175586,0.011175586,0.08912742,0.051849365,-0.05117798,2,0.008912742,0.45853883,10.548043,0.140348879293131,1.6307563
0.12158203,0.012134182,0.012134182,0.093856096,0.0569458,-0.06463623,1,0.009385611,0.7064986,10.835992,0.22005884335063897,1.8166443
0.09994507,0.011113245,0.011113244,0.088581845,0.04675293,-0.05319214,1,0.008858187,0.50249386,10.648911,0.1532719523761981,1.5055419
0.116363525,0.0113541735,0.0113541735,0.09043865,0.059265137,-0.05709839,1,0.009043865,0.6270188,10.766743,0.14975726337859424,1.7052654
0.098358154,0.011124548,0.011124548,0.08870111,0.05215454,-0.046203613,2,0.008870109,0.48440224,10.625771,0.14699917631789136,1.5282136
0.100097656,0.010237557,0.010237557,0.0810971,0.04852295,-0.051574707,1,0.008109711,0.62321895,10.832587,0.18445487220447285,1.329199
0.094696045,0.011204773,0.011204773,0.0892649,0.046691895,-0.04800415,1,0.008926492,0.30400226,9.943439,0.052143133486421724,2.0183308
0.10534668,0.011882153,0.011882152,0.093634106,0.049804688,-0.055541992,0,0.009363412,0.30871585,10.09829,0.08101256739217252,1.8573977
0.10256958,0.01150141,0.01150141,0.091764465,0.05065918,-0.0519104,2,0.009176447,0.57313794,10.752372,0.13721327126597443,1.6671873
0.09866333,0.0111189075,0.011118904,0.08840175,0.051208496,-0.047454834,0,0.008840174,0.5057163,10.495404,0.11115652456070288,1.8510817
0.09362793,0.011007739,0.011007738,0.08768596,0.04815674,-0.04547119,1,0.008768598,0.5945278,10.715387,0.13954859724440893,1.7467695
0.09411621,0.010961606,0.010961607,0.08851606,0.05029297,-0.043823242,1,0.008851604,0.33627528,10.370502,0.07132338258785942,1.7041113
0.09744263,0.012035277,0.012035277,0.095853575,0.04550171,-0.051940918,1,0.009585366,0.20517266,9.865766,0.04980156749201278,1.8294519
0.104644775,0.01104821,0.011048209,0.088563986,0.05026245,-0.054382324,1,0.008856406,0.39432928,10.562133,0.12112651008386581,1.5218883
0.09420776,0.010280379,0.010280379,0.082124725,0.051971436,-0.042236328,1,0.008212472,0.5240575,10.549143,0.11664149860223642,1.7231034
0.11050415,0.011997489,0.011997488,0.09426341,0.054595947,-0.055908203,2,0.009426342,0.432106,10.416054,0.10051261731230032,1.8388797
0.09396362,0.0111073395,0.0111073395,0.08886623,0.04788208,-0.046081543,1,0.008886627,0.500685,10.508344,0.11011132188498403,1.8143592
0.09298706,0.011113791,0.011113791,0.08866455,0.046661377,-0.046325684,0,0.008866456,0.48523635,10.547282,0.13443646415734825,1.6620817
0.113098145,0.012061071,0.012061072,0.09520697,0.054473877,-0.058624268,2,0.009520699,0.40712678,10.532072,0.14392908845846644,1.5694062
0.08666992,0.010280323,0.010280323,0.081915714,0.041900635,-0.044769287,1,0.008191575,0.48730022,10.427135,0.10221458166932908,1.8398201
0.08596802,0.01013888,0.01013888,0.081324995,0.041625977,-0.04434204,1,0.0081325,0.39674306,10.53307,0.1339871830071885,1.4997302
