Peak-to-Peak Amplitude,RMS
0.09814453,0.011217569
0.11102295,0.011916721
0.10626221,0.011897706
0.10202026,0.011168678
0.095214844,0.0111183645
0.10797119,0.011066686
0.105041504,0.011162385
0.122161865,0.011025811
0.12057495,0.011302647
0.08843994,0.010163593
0.12374878,0.0121721355
0.12722778,0.010249662
0.08807373,0.010229081
0.09283447,0.011060648
0.11187744,0.011235179
0.10800171,0.011997034
0.10662842,0.012026508
0.103027344,0.011175586
0.12158203,0.012134182
0.09994507,0.011113245
0.116363525,0.0113541735
0.098358154,0.011124548
0.100097656,0.010237557
0.094696045,0.011204773
0.10534668,0.011882153
0.10256958,0.01150141
0.09866333,0.0111189075
0.09362793,0.011007739
0.09411621,0.010961606
0.09744263,0.012035277
0.104644775,0.01104821
0.09420776,0.010280379
0.11050415,0.011997489
0.09396362,0.0111073395
0.09298706,0.011113791
0.113098145,0.012061071
0.08666992,0.010280323
0.08596802,0.01013888
0.10647583,0.011149305
0.09814453,0.0111255245
0.120788574,0.012057427
0.105407715,0.012078645
0.15386963,0.012106974
0.10391235,0.011184585
0.11569214,0.012100904
0.095703125,0.011160751
0.11633301,0.011303085
0.099975586,0.011052392
0.111968994,0.011111034
0.11141968,0.0121556185
0.097351074,0.011076799
0.08621216,0.010247763
0.085510254,0.0101484535
0.097595215,0.011099845
0.09963989,0.011086205
0.09790039,0.010242219
0.10159302,0.010241072
0.10412598,0.011174272
0.084350586,0.010195706
0.123931885,0.01183758
0.09991455,0.011223474
0.08905029,0.01022752
0.12365723,0.01131751
0.100097656,0.010997948
0.100982666,0.011204287
0.1048584,0.011184732
0.10739136,0.010993902
0.09213257,0.011141925
0.12088013,0.012020683
0.08590698,0.010253938
0.08758545,0.010233091
0.10910034,0.011937288
0.11001587,0.011888547
0.12036133,0.012096324
0.09240723,0.010215148
0.10592651,0.011898529
0.109558105,0.012132534
0.092315674,0.010228476
0.09674072,0.011056939
0.11557007,0.011143706
0.12634277,0.011281334
0.104156494,0.011075805
0.116760254,0.011344188
0.12652588,0.011146949
0.10101318,0.011159242
0.18972778,0.012098215
0.10925293,0.012076397
0.13076782,0.012086053
0.10824585,0.0121143665
0.091552734,0.011066504
0.09375,0.011105622
0.08935547,0.010244236
0.08425903,0.010264952
0.10903931,0.011116692
0.08529663,0.01021971
0.111083984,0.012003828
0.10708618,0.011209724
0.08917236,0.011225076
0.10159302,0.01120789
0.13168335,0.011156896
0.11148071,0.011148244
0.09588623,0.01112468
0.08782959,0.01025838
0.08758545,0.010247758
0.09277344,0.010203157
0.12890625,0.012216924
0.103149414,0.011180134
0.09234619,0.011181018
0.081848145,0.010250056
0.08862305,0.010237923
0.100860596,0.011116775
0.08630371,0.010252007
0.082611084,0.010267525
0.1232605,0.011160293
0.08969116,0.010233886
0.109191895,0.011895946
0.0960083,0.011077224
0.11300659,0.011264265
0.098236084,0.011081878
0.098480225,0.011071961
0.101501465,0.011133997
0.10266113,0.011082604
0.090026855,0.010230076
0.09024048,0.011039979
0.12246704,0.011115919
0.09719849,0.01111045
0.1109314,0.011882125
0.07873535,0.010238273
0.11148071,0.012204752
0.10354614,0.0111472905
0.10809326,0.011950018
0.097717285,0.01014249
0.107940674,0.011390821
0.103149414,0.011124536
0.10949707,0.012211045
0.083465576,0.010228068
0.10140991,0.01200918
0.09402466,0.011116769
0.109375,0.011372799
0.093811035,0.011137978
0.11456299,0.011248629
0.10253906,0.011204241
0.09918213,0.011157246
0.10858154,0.012099795
0.087249756,0.010235149
0.10595703,0.011205805
0.09857178,0.011106763
0.1005249,0.011307099
0.11898804,0.012106663
0.11642456,0.01193119
0.0949707,0.011117838
0.10119629,0.01125139
0.09942627,0.011034909
0.10046387,0.011127558
0.12698364,0.010967476
0.10272217,0.011123455
0.10559082,0.0121209845
0.09429932,0.010248195
0.08987427,0.010210714
0.112091064,0.012158871
0.08886719,0.010246761
0.103637695,0.011888363
0.15020752,0.011131153
0.096954346,0.011064378
0.08496094,0.010266673
0.0975647,0.011071691
0.1060791,0.011222329
0.10095215,0.011349755
0.09802246,0.01114925
0.09777832,0.011862527
0.08642578,0.010205865
0.10681152,0.011296813
0.1187439,0.011170729
0.09295654,0.011098913
0.0864563,0.01026675
0.11004639,0.011016844
0.092315674,0.011087293
0.099609375,0.011165874
0.11038208,0.012175879
0.08880615,0.010255856
0.09338379,0.010904865
0.111572266,0.012200968
0.0921936,0.011129431
0.089904785,0.010263818
0.09899902,0.011118162
0.11868286,0.01221629
0.107055664,0.01210675
0.09365845,0.011115764
0.09353638,0.011156778
0.09487915,0.011101383
0.09024048,0.010256628
0.10501099,0.010242808
0.10083008,0.011100958
0.104522705,0.011329675
0.09310913,0.011071885
0.114471436,0.011927875
0.09246826,0.011065836
0.10513306,0.012133072
0.0881958,0.010256709
0.09286499,0.010237825
0.09237671,0.011101538
0.08758545,0.010238287
0.1359253,0.012166769
0.0965271,0.011128305
0.09991455,0.010250636
0.11569214,0.010250132
0.10531616,0.011093222
0.16339111,0.011076264
0.1131897,0.011225304
0.10333252,0.011134674
0.092681885,0.011181347
