Peak-to-Peak Amplitude,RMS
0.10888672,0.010265217
0.10348511,0.0104832435
0.09976196,0.010466843
0.08703613,0.01047991
0.0819397,0.010204555
0.08404541,0.010234348
0.0864563,0.010463575
0.09094238,0.0104235
0.11489868,0.010411415
0.15930176,0.010522944
0.09539795,0.01027481
0.09094238,0.0102735115
0.09500122,0.01022017
0.09875488,0.01046306
0.095458984,0.010236501
0.093566895,0.010443439
0.08566284,0.010484277
0.08792114,0.010435458
0.09277344,0.010479924
0.08532715,0.01044919
0.08187866,0.010218309
0.09262085,0.010436084
0.09100342,0.010232463
0.08694458,0.0101847425
0.09524536,0.010265035
0.10122681,0.010245275
0.09170532,0.010505322
0.0826416,0.010210439
0.09033203,0.010281229
0.08416748,0.010214117
0.10394287,0.010230566
0.10015869,0.010489316
0.098358154,0.010503435
0.080200195,0.010477026
0.0954895,0.010252101
0.08850098,0.010229904
0.0954895,0.010484465
0.100128174,0.010507513
0.08547974,0.01022358
0.094177246,0.010463734
0.088378906,0.0104846675
0.09515381,0.010441858
0.09408569,0.010516217
0.091156006,0.01047054
0.09515381,0.010499942
0.0897522,0.010237057
0.09561157,0.010457613
0.09030151,0.01046829
0.09320068,0.010436599
0.08969116,0.01019697
0.09188843,0.010237366
0.09585571,0.010465445
0.09576416,0.010224795
0.08544922,0.010452501
0.09133911,0.01045646
0.16104126,0.010224466
0.099487305,0.0104703335
0.09094238,0.010191224
0.09744263,0.010475363
0.09030151,0.010213942
0.1043396,0.010499431
0.09725952,0.010450322
0.08566284,0.010458337
0.08282471,0.010204997
0.08416748,0.010212897
0.09106445,0.010229173
0.093566895,0.010456268
0.11514282,0.010462864
0.085876465,0.0102043385
0.09185791,0.010261312
0.090270996,0.0101937605
0.10534668,0.010476112
0.16247559,0.010286589
0.095581055,0.010479452
0.09341431,0.010268573
0.08984375,0.0102864355
0.12414551,0.010480898
0.08508301,0.010461725
0.09539795,0.010464075
0.08288574,0.010240546
0.10470581,0.0104412
0.090270996,0.010291566
0.09185791,0.010212447
0.0925293,0.010476309
0.09814453,0.010221703
0.08920288,0.010484571
0.08862305,0.010463095
0.08743286,0.010202392
0.08633423,0.010203605
0.08911133,0.010388264
0.084503174,0.0101927435
0.09411621,0.010508735
0.08959961,0.010255462
0.086242676,0.01019311
0.09283447,0.010255165
0.091156006,0.010199121
0.089019775,0.010205715
0.0814209,0.010445329
0.08596802,0.010211227
0.086517334,0.010428654
0.08816528,0.010248306
0.090667725,0.010284697
0.096191406,0.010251848
0.0949707,0.010475522
0.08694458,0.0102080535
0.090545654,0.010468619
0.08947754,0.010251782
0.08779907,0.010245986
0.095458984,0.010234192
0.08328247,0.010472165
0.09396362,0.010472984
0.09161377,0.01045146
0.08517456,0.0104413945
0.0932312,0.010205752
0.09732056,0.010249435
0.112335205,0.010196917
0.08880615,0.010253898
0.09320068,0.010463223
0.0874939,0.010233182
0.09466553,0.010280898
0.09451294,0.010188905
0.099365234,0.010432444
0.091430664,0.010493483
0.11682129,0.01042818
0.0887146,0.01027443
0.09188843,0.010466246
0.10494995,0.010234293
0.08566284,0.010217111
0.09390259,0.010197211
0.09310913,0.010420109
0.09133911,0.010207373
0.09017944,0.01025265
0.091552734,0.010484546
0.089416504,0.010418012
0.089263916,0.01017877
0.09515381,0.01025917
0.0904541,0.010223675
0.091156006,0.010513288
0.09503174,0.010251422
0.09503174,0.010221026
0.09762573,0.0102142235
0.09283447,0.010474479
0.09500122,0.010180215
0.11465454,0.0104616415
0.09402466,0.010211269
0.08319092,0.010478708
0.09140015,0.0102641275
0.08816528,0.010471283
0.09298706,0.010481727
0.090270996,0.010481283
0.10153198,0.010461736
0.09008789,0.010200504
0.08395386,0.010480205
0.09793091,0.010236091
0.09854126,0.01045697
0.095458984,0.01047644
0.08532715,0.010517255
0.086639404,0.010443282
0.08981323,0.010453929
0.08843994,0.010199365
0.09008789,0.010477035
0.09197998,0.010474735
0.08282471,0.010506715
0.09375,0.010515727
0.092041016,0.010216847
0.09359741,0.010201144
0.102264404,0.010461681
0.08377075,0.010295037
0.08782959,0.010198857
0.0914917,0.010484865
0.090423584,0.010294279
0.09512329,0.010476216
0.091156006,0.010500149
0.098236084,0.010257689
0.08908081,0.010261776
0.085632324,0.010458263
0.10256958,0.010230602
0.09710693,0.01045193
0.13626099,0.010455581
0.08081055,0.010202604
0.09011841,0.0104904985
0.088256836,0.010459906
0.11340332,0.010204309
0.109375,0.010242851
0.10110474,0.010475616
0.08886719,0.010471405
0.088531494,0.010463867
0.1038208,0.010451997
0.08428955,0.010203899
0.107543945,0.010215645
0.092315674,0.010206577
0.09674072,0.010220948
0.09384155,0.010194088
0.08932495,0.01048699
0.090270996,0.01023987
0.10824585,0.010475051
0.0869751,0.010505102
0.088775635,0.010202184
0.094573975,0.010461083
0.08718872,0.010255409
0.090148926,0.010198818
0.09024048,0.0102483
0.122680664,0.010204363
0.09222412,0.010482659
0.1545105,0.010472576
0.09689331,0.010500052
0.1324768,0.010248498
0.098846436,0.010236705
0.08917236,0.010255291
0.08578491,0.010211167
0.09225464,0.010504622
0.092803955,0.010231806
0.09194946,0.010232867
0.08679199,0.010228671
0.09011841,0.010191512
0.08770752,0.010470598
0.09475708,0.010460977
0.09158325,0.010457048
0.09039307,0.010448985
0.08627319,0.010480313
0.11172485,0.01054277
0.083465576,0.010467924
0.08605957,0.010208722
0.08905029,0.010426311
0.08898926,0.010460328
0.08581543,0.010268066
0.0892334,0.0104865255
0.090423584,0.0104783755
0.099365234,0.010260612
0.09524536,0.010458541
0.12219238,0.010235385
